crime_rate_per_100000,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,const
475.6599246,3,9,44,55,333,993,36,4,23336,1
473.593974,4,32,22,279,659,1645,240,3,71158,1
471.9454641,0,1,0,8,9,6,1,0,1907,1
471.6041182,0,6,9,56,221,269,50,2,15055,1
471.36871510000003,1,9,8,63,108,394,21,3,17184,1
470.94805210000004,80,401,3408,4771,17400,45279,4320,180,1838844,1
470.6150977,9,36,99,227,1054,2126,132,14,78833,1
469.50001749999996,0,5,8,121,155,273,24,6,28541,1
469.2314875,0,40,7,154,259,728,41,12,42836,1
468.01872069999996,0,4,2,45,167,249,22,4,10897,1
466.80343710000005,2,6,6,143,196,573,27,4,33633,1
464.3699274,2,72,108,718,920,3889,219,2,193811,1
464.24676739999995,2,28,26,242,637,2141,159,41,64190,1
464.1982529,3,2,11,111,254,743,25,0,27359,1
462.948283,0,17,58,217,374,1955,112,12,63074,1
462.7249357,0,9,10,134,311,689,63,14,33065,1
462.49008,15,233,730,1458,4257,12857,2442,175,526714,1
462.40941730000003,33,115,412,1540,4364,9194,1835,39,454143,1
462.1687364,11,29,175,507,2149,5208,184,8,156220,1
461.4239643,3,8,9,72,148,356,21,4,20155,1
460.65259119999996,0,6,2,100,97,119,15,2,23445,1
460.5534903,0,17,21,185,356,1025,65,11,48420,1
460.44252869999997,0,11,22,296,409,1149,94,7,71453,1
459.3060294,50,211,1602,2361,6019,19729,1481,341,919866,1
459.1712428,2,7,17,219,356,1183,69,4,53357,1
459.0022627,8,24,49,132,974,1714,96,22,46405,1
457.8507945,0,8,1,59,136,316,28,6,14852,1
457.47511439999994,30,74,479,678,1794,6331,301,37,275862,1
457.39286069999997,0,11,1,34,61,58,4,1,10057,1
457.297156,6,72,170,697,1850,4502,210,8,206649,1
455.36531169999995,11,55,148,657,1540,4835,359,58,191275,1
454.97467589999997,2,9,1,41,75,166,36,4,11649,1
454.9437385,28,90,546,255,3186,7591,1193,51,202003,1
454.3696829,1,1,3,42,47,56,10,2,10344,1
453.0796088000001,1,4,22,143,264,763,40,5,37521,1
451.9245753000001,0,1,4,53,114,179,4,2,12834,1
451.83118139999993,6,38,133,448,1466,4214,361,10,138326,1
451.4750482,1,21,65,306,869,1825,169,10,87048,1
451.01478330000003,0,16,3,71,219,348,32,0,19955,1
450.4504505,0,9,6,60,131,219,32,3,16650,1
450.35401950000005,7,51,107,403,1200,2956,460,20,126123,1
450.00096569999994,7,37,227,428,1059,3626,191,71,155333,1
449.8940279,1,18,36,291,544,1587,196,13,76907,1
449.7776286,2,24,70,172,776,1484,218,0,59585,1
449.4503709,0,4,4,75,103,211,11,0,18467,1
447.9617739,0,4,6,80,160,250,28,1,20091,1
447.81982450000004,1,7,6,157,330,825,87,3,38185,1
446.45877019999995,2,16,50,130,165,1250,94,9,44349,1
445.8559141,58,296,2077,1156,8318,23723,1601,443,804520,1
444.80081399999995,600,1976,18923,23057,49107,142604,40555,2210,10017068,1
444.6376217,26,50,760,811,2447,5057,715,38,370414,1
444.08228330000003,6,93,195,954,1694,5162,396,14,281029,1
443.9528471,2,16,56,219,780,1839,170,11,65998,1
443.81914689999996,0,24,34,289,464,1142,115,34,78185,1
443.70103,4,50,156,546,1059,3489,313,21,170385,1
443.6932178,1,13,4,66,191,314,19,1,18932,1
443.38660319999997,0,21,34,271,711,2075,123,6,73525,1
442.96507199999996,165,706,4889,5227,25141,59144,10235,692,2480331,1
442.11083179999997,13,100,538,1806,2588,11324,888,65,555743,1
441.75993370000003,28,93,753,1364,5151,12198,933,183,506610,1
441.7261298,0,0,0,26,21,59,0,0,5886,1
441.3265847,15,84,1323,1493,2664,8135,1504,38,660282,1
440.2358045,37,85,501,1291,3124,11741,997,98,434767,1
439.57060889999997,7,5,21,61,278,367,24,0,21612,1
439.53897249999994,3,1,9,32,46,103,4,0,10238,1
438.02376219999996,80,644,3296,1291,16769,34668,3783,587,1212263,1
436.59070589999993,4,35,138,497,1438,3530,250,14,154378,1
435.9855789,0,0,2,50,99,389,1,0,11927,1
435.908775,1,4,5,59,125,134,8,2,15829,1
435.2148459,5,3,10,179,337,882,98,13,45265,1
435.15213330000006,2,14,5,107,158,508,25,7,29415,1
435.1415259,45,94,706,1021,2912,5612,1774,64,428826,1
434.8227901000001,7,131,70,733,1285,5033,331,30,216410,1
434.5753778,1,6,5,143,158,784,42,4,35667,1
434.5697148,28,115,659,1044,4322,6435,2433,118,424788,1
434.0872744,1,14,1,41,89,258,16,6,13131,1
433.27364769999997,3,18,5,170,120,794,38,7,45237,1
432.9004329,0,0,0,18,16,44,6,0,4158,1
432.4902041,102,422,2923,5585,18788,32802,11509,367,2088371,1
432.44659939999997,2,4,0,27,83,71,4,3,7631,1
432.22571339999996,10,56,234,568,1932,5013,367,28,200821,1
432.20055139999994,3,97,111,460,1188,3255,186,33,155252,1
431.67135030000003,1,6,30,112,319,487,23,4,34517,1
431.3174256,10,104,233,908,2450,6573,633,54,290969,1
431.30990419999995,19,96,422,1623,4095,12072,1046,29,500800,1
431.06056849999993,101,649,2038,5047,18580,69589,7155,336,1817610,1
430.9694898,14,177,631,2665,4731,11446,877,67,809106,1
430.1498709,6,46,154,362,1439,3973,264,11,132047,1
430.075634,0,0,3,55,26,95,11,24,13486,1
430.0393826,5,93,75,397,1061,2418,140,28,132546,1
429.3415113,8,86,187,846,1825,8845,410,87,262495,1
428.6734937,2,9,8,160,363,823,51,12,41990,1
428.3049688,38,289,910,2274,9180,20856,3967,169,819743,1
427.36080419999996,3,12,49,112,580,1254,91,5,41183,1
426.1933414,0,7,21,57,113,235,10,1,19944,1
425.36736270000006,0,18,4,132,259,820,63,8,36204,1
425.31535130000003,0,11,8,98,237,721,49,6,27509,1
424.98937530000006,1,16,9,74,223,418,11,3,23530,1
424.39675030000006,0,15,1,19,71,143,4,3,8247,1
423.82032180000004,0,24,16,117,241,1030,71,10,37044,1
423.3337063,0,16,24,187,381,1040,72,7,53622,1
423.1225216,0,17,27,163,245,577,24,5,48922,1
423.1073,0,4,2,69,133,460,10,4,17726,1
422.85873389999995,2,18,22,201,581,1292,96,14,57466,1
421.76566439999993,1,5,1,125,160,396,37,5,31297,1
421.56525769999996,9,115,218,676,2237,6380,286,63,241481,1
421.56361780000003,0,3,1,29,31,118,5,0,7828,1
421.41494950000003,1,63,79,763,2223,3459,156,36,214990,1
421.101342,4,22,55,101,479,1458,56,7,43220,1
